mission name	date	data
STS-1	04/13/1981	“Blast-Off Columbia” Roy McCall
STS-1	04/14/1981	"Short excerpt from an old Spike Jones record followed by a comic tape with voices of Houston DJs Hudson and Harrigan kidding Young and Crippen, then  “Reveille”. ""It's splashdown, and Crip, you could both use a shower,"" said one member of the radio team. ""You've waited for this for 12 years and if you don't wake up you're going to miss the whole darn thing."" ""Crip,"" said one voice, ""get out of the rack."" ""No, no, no,"" said the other. ""If he wakes up he'll spill coffee all over the controls.” “Get to work, you guys. You’ve got 300 government agencies out there to support.” Then Mission Control came back on the line. “Now hear this, now hear this, reveille, reveille, up all idlers. And that last wakeup call, we’d like you to scratch out ‘splashdown’ and insert ‘touchdown,’” said Mission Control."
STS-2	11/13/1981	“Pigs in Space” comedy routine #1 by The Muppets (arranged by Sally Ride).
STS-2	11/14/1981	“Pigs in Space” comedy routine #2 by The Muppets (arranged by Sally Ride), preceded by rendition of “Columbia, Gem of the Ocean” by the Flight Operations Directorate group“Contraband.”
STS-3	03/23/1982	“On the Road Again” by Willie Nelson
STS-3	03/24/1982	“Marine Corps Hymn”
STS-3	03/25/1982	The Air Force Song (“Off We Go Into the Wild Blue Yonder”) for the benefit of  pilot C. Gordon Fullerton, an Air Force colonel, who commented: “That will get us off to a fast start.”
STS-3	03/26/1982	“Sail Away” by Christopher Cross while over Madrid.
STS-3	03/27/1982	Exchange of music between the ground and the Columbia, the Columbia playing for the flight control team, “I'm Sitting On Top of the World” and the flight team transmitting up “Those Magnificent Men and Their Flying Machines.”
STS-3	03/28/1982	“Six Days on the Road and I’m Gonna Make It Home Tonight” by Dave Dudley
STS-3	03/29/1982	"CAPCOM Steve Nagel uplinked ""This is My Country"" to the crew and the crew responded with downlink medley of the “The Air Force Song  (“Off We Go Into the Wild Blue Yonder”)” and the “Marine Corps Hymn.”"
STS-4	06/28/1982	“Up, Up and Away”
STS-4	06/29/1982	“Hold That Tiger” by Auburn University Band. 
STS-4	06/30/1982	Pilot Henry (Hank) Hartsfield's 25th wedding anniversary and on this first air/ground pass of the day, he received taped messages from his two daughters and his wife.
STS-4	07/01/1982	The astronauts got a wake-up call at 1:10 a.m. today from Houston control as the ship was passing over the Dakar, Senegal, tracking station. Columbia was making its 59th orbit at the time. There was no response at first from the crewmen, but mission control reported that engineering data showed the pilots were operating their food warmer for breakfast. Mattingly finally responded with a cheerful, “Good morning.”
STS-4	07/02/1982	“Theme from ‘Chariots of Fire’” by Vangelis
STS-4	07/03/1982	College fraternity songs, the Delta Tau Delta Fraternity for TK Mattingly, and Delta Chi for   Hank Hartsfield. 
STS-4	07/04/1982	“This is My Country”
STS-5	11/12/1982	"""76 Trombones"" from the ""Music Man"""
STS-5	11/13/1982	"""Cotton-eyed Joe"""
STS-5	11/14/1982	"Marine’s Hymn ""Halls of Montezuma"" in honor of two Marines onboard: Columbia pilot Bob"
STS-5	11/15/1982	"""The Stroll"""
STS-5	11/16/1982	"""Take Me Home, Country Roads"" by John Denver"
STS-6	04/05/1983	"""Cadets on Parade"" and The Air Force Song (“Off We Go Into the Wild Blue Yonder”) by the United States Air Force Academy Band"
STS-6	04/06/1983	"""Teach Me Tiger"" by April Stevens"
STS-6	04/07/1983	“Theme from F-Troop” 
STS-6	04/08/1983	“The Poor Co-pilot,” a tune from Korean War flying days sung by Oscar Brand and the Roger Wilco 4’
STS-6	04/09/1983	“Ode to the Lions” as rendered by Rusty Gordon. This is a Penn State song referring to the Nittany Lions, of Penn State University which is Paul Weitz alma mater. He earned his Bachelor in Aeronautical Engineering at Penn State in 1954.
STS-7	06/19/1983	"The University of Texas Fight Song, of course, a tribute to the Mission Commander, Bob  Crippen who is a UT graduate. It was preceded by the Texas A&M, Texas ""Aggie"", Fight Song which was a greeting card to Crip from Jerry Griffin, the Center Director at JSC, who is a Texas A&M graduate."
STS-7	06/20/1983	"“A&M, Texas A&M Aggie War Hymn” followed by ""Tufts Tonia's Day"" as rendered by the Tufts University Beelzebubs, which is a student acappella group at Tufts University, Rick Hauck’s alma mater."
STS-7	06/21/1983	"“Texas Aggie War Hymn” followed by  “Reveille”  followed by ""When You're Smiling"", as rendered by Mary Cleave's father, Mary Cleave, the CAPCOM for this crew, and in response, Challenger down linked some music of its own, some version of ""Tequila Sunrise."""
STS-7	06/22/1983	“Texas A&M Aggie War Hymn” and the “Washington State University Cougar Fight Song”, from which John Fabian is a graduate.
STS-7	06/23/1983	"The uplink music was the “Texas A&M, Texas Aggie War Hymn,” followed by the incomparable Leeland Stanford Junior University Marching Band, playing the “Stanford Hymn,” which of course is the alma mater of Dr. Sally Ride and it sounded like the crew down linked a Beatles' song, ""A Hard Day's Night""."
STS-7	06/24/1983	The usual few opening bars of the “Texas Aggie War Hymn;” that was followed by the “Florida State University Fight Song” played by the Florida State University  Marching Chiefs. Norm Thagard is an alumnus of FSU.
STS-8	08/31/1983	“Georgia Tech Fight Song” for the alma mater of Commander Richard Truly.
STS-8	09/01/1983	“Illinois Fight Song” for Mission Specialist Dale Gardner’s alma mater.
STS-8	09/02/1983	“Penn State Fight Song” for Guy Bluford's Alma Mater
STS-8	09/03/1983	“University of North Carolina Fight Song” for alumnus Bill Thornton.
STS-8	09/04/1983	“Tala Sawari” performed by sitar player Ravi Shankar in honor of release of Indian INSAT satellite.
STS-8	09/05/1983	“Semper Fidelis” by John Philip Sousa. CAPCOM Brian O’Connor was a Marine Corps officer.
STS-41-B	02/04/1984	Wake-up music had been planned to be a selection from the “Contraband,” that group of NASA employees and would have featured Ron McNair, astronaut Ron McNair on the tenor sax, but that somehow got garbled in the translation going up.
STS-41-B	02/05/1984	“A Train” by “Contraband” which features as its tenor sax player, Dr. Ron McNair
STS-41-B	02/06/1984	"""Glory, Glory, Colorado"" by the University of Colorado Band. That's the fight song of that institution which is Vance Brand's alma mater followed by ""Ride High You Mustangs"" the Cal Poly State University fight song which is Pilot Robert Gibson’s alma mater."
STS-41-B	02/07/1984	Wake up music was an armed forces medley which covered three of the services.
STS-41-B	02/08/1984	North Carolina A&T University alma mater of which Mission Specialist Ron McNair is an alumnus and
STS-41-B	02/09/1984	“Believe It Or Not (Theme from ‘The Greatest American Hero’)” by Joey Scarbury in honor of that day’s EVA. With some changed verses
STS-41-B	02/10/1984	A live rendition of The Air Force Song  (“Off We Go Into the Wild Blue Yonder”) from all   the Air Force CAPCOMs.
STS-41-B	02/11/1984	“In the Mood” by “Contraband”, a musical group composed of JSC employees.
STS-41-C	04/07/1984	“A Boy Named Sue” by Johnny Cash.
STS-41-C	04/08/1984	Fight song of the University of California at Berkeley” followed by the
STS-41-C	04/09/1984	“Believe It Or Not (Theme from ‘The Greatest American Hero’)” by Joey Scarbury
STS-41-C	04/10/1984	“Theme from ‘Chariots of Fire’” by Vangelis
STS-41-C	04/11/1984	“Gonna Fly Now (Theme From ‘Rocky’)” by Bill Conti
STS-41-C	04/12/1984	“Please Release Me” parody
STS-41-C	04/13/1984	Fight songs from the University of Texas, for mission commander, Bob Crippen, and the University of Arizona for Pilot, Dick Scobee.
STS-41-D	08/31/1984	“Anchors Aweigh”
STS-41-D	09/01/1984	“Telstar” by The Ventures
STS-41-D	09/02/1984	“Mr. Spaceman” by The Byrds
STS-41-D	09/03/1984	“Hair”
STS-41-D	09/04/1984	“Eight Miles High” by The Byrds
STS-41-D	09/05/1984	No wakeup call sent because crew woke early to handle a cryo leak.
STS-41-G	10/06/1984	“Flashdance…What A Feeling” by Irene Cara
STS-41-G	10/07/1984	“Leaving On a Jet Plane” by John Denver
STS-41-G	10/08/1984	“Song of Jon McBride” (written and sung by a friend of McBride’s. See Before Lift-off: The Making of a Space Shuttle Crew by Henry S.F. Cooper Jr.,p.198.
STS-41-G	10/09/1984	“Gonna Fly Now (Theme From ‘Rocky’)” by Bill Conti
STS-41-G	10/10/1984	“Navy Wings are Made of Gold”
STS-41-G	10/11/1984	“Take Me Home, Country Roads” by John Denver
STS-41-G	10/12/1984	“Star Wars (Main Title)” by John Williams
STS-41-G	10/13/1984	“Boomer Sooner” The University of Oklahoma Fight Song 
STS-51-A	11/09/1984	“Good Morning Starshine” from the musical “Hair”. Crew responded with “Good Day Sunshine” by The Beatles.
